# http://127.0.0.1:4803 --workers 10 --loaded-duration-minutes 2 --output-dir run3
# {"appUrl":"http://127.0.0.1:4803","debugLog":false,"loadedDurationMinutes":2.0,"logLevel":"WARN","outputDir":"run3","overwriteOutput":false,"recordingPath":"recording.log","workers":10}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569173287,39,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569175789,39,
7,7,0,WS_SEND_START,1584569175789,39,
7,7,0,WS_SEND_END,1584569175789,39,
7,7,0,WS_RECV_START,1584569175789,40,
7,7,0,WS_RECV_END,1584569176226,40,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569176226,41,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569200613,41,
7,7,0,WS_SEND_START,1584569200614,41,
7,7,0,WS_SEND_END,1584569200615,41,
7,7,0,WS_RECV_START,1584569200615,42,
7,7,0,WS_RECV_END,1584569201507,42,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569201507,43,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569230858,43,
7,7,0,WS_SEND_START,1584569230858,43,
7,7,0,WS_SEND_END,1584569230859,43,
7,7,0,WS_RECV_START,1584569230859,44,
7,7,0,WS_RECV_END,1584569231253,44,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569231253,45,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569251686,45,
7,7,0,WS_SEND_START,1584569251688,45,
7,7,0,WS_SEND_END,1584569251688,45,
7,7,0,WS_RECV_START,1584569251688,46,
7,7,0,WS_RECV_END,1584569252058,46,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569252058,47,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569255739,47,
7,7,0,WS_SEND_START,1584569255739,47,
7,7,0,WS_SEND_END,1584569255739,47,
7,7,0,WS_RECV_START,1584569255739,48,
7,7,0,WS_RECV_END,1584569256141,48,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569256142,49,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569265000,49,
7,7,0,WS_SEND_START,1584569265000,49,
7,7,0,WS_SEND_END,1584569265001,49,
7,7,0,WS_RECV_START,1584569265001,50,
7,7,0,WS_RECV_END,1584569265387,50,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569265388,51,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569278212,51,
7,7,0,WS_SEND_START,1584569278212,51,
7,7,0,WS_SEND_END,1584569278212,51,
7,7,0,WS_RECV_START,1584569278213,52,
7,7,0,WS_RECV_END,1584569278619,52,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569278619,53,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569280069,53,
7,7,0,WS_SEND_START,1584569280069,53,
7,7,0,WS_SEND_END,1584569280069,53,
7,7,0,WS_RECV_START,1584569280070,54,
7,7,0,WS_RECV_END,1584569280787,54,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569280787,55,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569284520,55,
7,7,0,WS_SEND_START,1584569284520,55,
7,7,0,WS_SEND_END,1584569284520,55,
7,7,0,WS_RECV_START,1584569284520,56,
7,7,0,WS_RECV_END,1584569284932,56,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569284932,57,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569297329,57,
7,7,0,WS_SEND_START,1584569297330,57,
7,7,0,WS_SEND_END,1584569297330,57,
7,7,0,WS_RECV_START,1584569297330,58,
7,7,0,WS_RECV_END,1584569297757,58,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569297757,59,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569304876,59,
7,7,0,WS_SEND_START,1584569304876,59,
7,7,0,WS_SEND_END,1584569304876,59,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569304877,60,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569330108,60,
7,7,0,WS_SEND_START,1584569330109,60,
7,7,0,WS_SEND_END,1584569330109,60,
7,7,0,WS_RECV_START,1584569330109,61,
7,7,0,WS_RECV_END,1584569330540,61,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569330540,62,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569343750,62,
7,7,0,WS_SEND_START,1584569343750,62,
7,7,0,WS_SEND_END,1584569343751,62,
7,7,0,WS_RECV_START,1584569343751,63,
7,7,0,WS_RECV_END,1584569344272,63,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569344272,64,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569353583,64,
7,7,0,WS_SEND_START,1584569353583,64,
7,7,0,WS_SEND_END,1584569353583,64,
7,7,0,WS_RECV_START,1584569353583,65,
7,7,0,WS_RECV_END,1584569353594,65,
7,7,0,PLAYBACK_SLEEPBEFORE_START,1584569353594,66,
7,7,0,PLAYBACK_SLEEPBEFORE_END,1584569361925,66,
7,7,0,WS_CLOSE_START,1584569361925,66,
7,7,0,WS_CLOSE_END,1584569361926,66,
7,7,0,PLAYBACK_DONE,1584569361926,0,
